ID=2c5c67d6-309b-4ada-afe8-570994fe5fd4 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:07.906 | ÚltimaExecução=22:22:08.054
ID=84b1c578-756d-4de9-811c-611735e5096e | Reentradas=0 | Latência=227ms | Status=sfSucesso | Entrada=22:21:30.448 | ÚltimaExecução=22:21:30.674
ID=e96f08ab-021f-4676-9929-26fbb90523c3 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:09.809 | ÚltimaExecução=22:22:09.956
ID=7cfc1487-f38a-4ef0-ad3f-74b397cfdccf | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:15.719 | ÚltimaExecução=22:22:15.846
ID=be19d5ae-1fb4-451b-902d-2f9211921b28 | Reentradas=0 | Latência=146ms | Status=sfSucesso | Entrada=22:22:05.679 | ÚltimaExecução=22:22:05.825
ID=ad415b1e-cbde-46d4-97fd-c6e33bd0b237 | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=22:21:56.112 | ÚltimaExecução=22:22:03.388
ID=958280af-c6ae-4b5c-b309-eb8e66b9b69b | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=22:21:43.761 | ÚltimaExecução=22:21:49.114
ID=adeedf7f-0739-4b18-8cfe-3231642d9080 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:04.525 | ÚltimaExecução=22:22:04.673
ID=e5382fb8-362a-4f5b-9a95-63a88126d521 | Reentradas=0 | Latência=151ms | Status=sfSucesso | Entrada=22:22:09.051 | ÚltimaExecução=22:22:09.202
ID=83bd9c21-fbbe-4164-9a4c-990791455e72 | Reentradas=3 | Latência=145ms | Status=sfSucesso | Entrada=22:21:45.403 | ÚltimaExecução=22:22:03.024
ID=330bbe73-1a65-4c80-9b70-34eddc41ca78 | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=22:21:38.114 | ÚltimaExecução=22:21:38.345
ID=d29d1347-62ae-4ebd-8dea-909e06f7f5b4 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:14.713 | ÚltimaExecução=22:22:14.841
ID=1f3db94c-93c3-461c-898d-7b18c1cd82ef | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=22:21:57.249 | ÚltimaExecução=22:22:04.521
ID=9bde518a-a755-4759-a447-29cf9b6574aa | Reentradas=1 | Latência=128ms | Status=sfSucesso | Entrada=22:21:44.532 | ÚltimaExecução=22:21:49.888
ID=f3ecd300-0304-4713-9816-bcd88d07b3b2 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:21:28.437 | ÚltimaExecução=22:21:28.565
ID=1039af96-f25a-4442-8a61-ff6c905b76ea | Reentradas=0 | Latência=228ms | Status=sfSucesso | Entrada=22:21:36.489 | ÚltimaExecução=22:21:36.717
ID=1ab6d9d4-a0dc-4a76-a6fe-06c3f5c06a5d | Reentradas=3 | Latência=148ms | Status=sfSucesso | Entrada=22:21:45.538 | ÚltimaExecução=22:22:03.167
ID=54f4d140-0934-4a93-8fa1-423aaac1f566 | Reentradas=0 | Latência=2127ms | Status=sfSucesso | Entrada=22:21:59.740 | ÚltimaExecução=22:22:01.867
ID=7225c877-055b-41d4-bd83-f9a250898438 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:11.820 | ÚltimaExecução=22:22:11.947
ID=d59e666f-2f24-4ad0-8fd7-07449206d167 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:17.473 | ÚltimaExecução=22:22:17.600
ID=307ec0ae-20a8-461e-9131-f0881b5a5fdf | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=22:21:39.740 | ÚltimaExecução=22:21:39.970
ID=b43345be-1f39-47c2-8d43-445eb72bbf6e | Reentradas=0 | Latência=2124ms | Status=sfSucesso | Entrada=22:21:58.643 | ÚltimaExecução=22:22:00.767
ID=4018cc84-c0a9-4db7-9eb1-c8ce7a18018d | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=22:22:17.096 | ÚltimaExecução=22:22:17.224
ID=47af420e-1c2c-41e6-804f-957d4469652f | Reentradas=0 | Latência=226ms | Status=sfSucesso | Entrada=22:21:33.076 | ÚltimaExecução=22:21:33.301
ID=881f9a5e-2487-4d07-9059-745c8d8c65ab | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:09.553 | ÚltimaExecução=22:22:09.700
ID=20eded89-2dee-4af6-a2fc-d5f899b8c254 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=22:22:13.723 | ÚltimaExecução=22:22:13.851
ID=4e74ad39-7215-49ef-b8ca-ed74c3aded74 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:07.690 | ÚltimaExecução=22:22:07.838
ID=d5dd0d02-d237-4fd3-b5c7-c548dbe99f0b | Reentradas=0 | Latência=152ms | Status=sfSucesso | Entrada=22:22:08.421 | ÚltimaExecução=22:22:08.573
ID=286a3f76-d21e-408a-998d-0e93aa1c4a0f | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:12.845 | ÚltimaExecução=22:22:12.972
ID=d92083f0-fef3-4d4b-99ab-45d4de9bddd4 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:18.244 | ÚltimaExecução=22:22:18.371
ID=aaf7594a-9990-4f9a-a909-0d5cb2355a95 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:21:22.405 | ÚltimaExecução=22:21:22.533
ID=d2dd74c5-ba08-4306-8dde-c66d347c630c | Reentradas=0 | Latência=226ms | Status=sfSucesso | Entrada=22:21:35.084 | ÚltimaExecução=22:21:35.311
ID=46540b9f-02f0-4946-abca-1586ffa57ffb | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=22:22:15.966 | ÚltimaExecução=22:22:16.093
ID=36d5bd82-51d6-4918-814c-ee0c53a92206 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:17.237 | ÚltimaExecução=22:22:17.364
ID=2f2d0acd-ebc2-41a4-ba51-3ece94a5c78f | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:03.760 | ÚltimaExecução=22:22:03.907
ID=9dc66247-e2c1-4ee2-a102-1b664e4801bb | Reentradas=1 | Latência=145ms | Status=sfSucesso | Entrada=22:21:58.255 | ÚltimaExecução=22:22:05.522
ID=ef769df9-f44c-498e-a2e0-a5c2144245f9 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:00.745 | ÚltimaExecução=22:22:00.892
ID=ec091314-37f0-4ec2-a9ff-c2e5f266b164 | Reentradas=0 | Latência=2127ms | Status=sfSucesso | Entrada=22:22:00.140 | ÚltimaExecução=22:22:02.268
ID=7fb4dda8-2462-40ff-833a-96abcdc2faf0 | Reentradas=0 | Latência=2126ms | Status=sfSucesso | Entrada=22:21:59.866 | ÚltimaExecução=22:22:01.992
ID=18cd4b71-ef49-41de-be64-0cf1e2eb83e6 | Reentradas=4 | Latência=145ms | Status=sfSucesso | Entrada=22:21:40.376 | ÚltimaExecução=22:22:03.228
ID=df4b6b0e-0b3b-4c4f-b1a3-5d3789ef8fc8 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:05.403 | ÚltimaExecução=22:22:05.551
ID=7d117ced-7f75-4e54-89a9-d50e18854705 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:06.408 | ÚltimaExecução=22:22:06.556
ID=272a55af-4328-4306-9618-4b4009f8d402 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:19.370 | ÚltimaExecução=22:22:19.497
ID=ed2f787a-7f22-4e20-b006-bc36a5f804f7 | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=22:21:34.081 | ÚltimaExecução=22:21:34.311
ID=b786a23f-09a4-4a01-9732-8fc4176ddd5f | Reentradas=0 | Latência=229ms | Status=sfSucesso | Entrada=22:21:35.483 | ÚltimaExecução=22:21:35.712
ID=57845ab6-a60e-4f6e-aa92-f0ef9ee85836 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=22:21:42.756 | ÚltimaExecução=22:21:48.111
ID=0a31fa96-476f-47ae-b944-e403be8e08cf | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=22:22:11.442 | ÚltimaExecução=22:22:11.568
ID=b8439170-1bfb-4002-b3e1-c3aa2aa1cc0d | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=22:21:53.610 | ÚltimaExecução=22:22:00.887
ID=42b399b7-47e5-45b8-a349-a1bc111e8dda | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=22:22:13.210 | ÚltimaExecução=22:22:13.338
ID=a82dc82e-5302-493e-ba6f-3338c26a6cbe | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:18.101 | ÚltimaExecução=22:22:18.228
ID=f0bb5323-eeba-463e-b4da-038ace9f03e1 | Reentradas=0 | Latência=229ms | Status=sfSucesso | Entrada=22:21:39.121 | ÚltimaExecução=22:21:39.350
ID=087ca8f3-8d3b-401b-89bf-f7882bcefcbb | Reentradas=2 | Latência=145ms | Status=sfSucesso | Entrada=22:21:50.428 | ÚltimaExecução=22:22:02.828
ID=3d0af2f6-0729-42fa-a50a-d5f5b024e130 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=22:22:13.452 | ÚltimaExecução=22:22:13.578
ID=788b085d-b59b-4b0e-8ac3-be09ae1fe2d7 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:12.331 | ÚltimaExecução=22:22:12.458
ID=22032d3f-662d-4cde-86ed-5ddf58973ff3 | Reentradas=0 | Latência=145ms | Status=sfSucesso | Entrada=22:22:02.755 | ÚltimaExecução=22:22:02.900
ID=8ebeaaea-b5e8-44a0-8f73-f42db9a9d6fe | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:07.040 | ÚltimaExecução=22:22:07.188
ID=8557ff0c-63cb-43d3-856f-5460e72cdabe | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:18.876 | ÚltimaExecução=22:22:19.003
